sample,amplicon,lwcn,classification
DMS114,amplicon8,0,No-FSCNA
DMS273,amplicon1,197762809.445,Cyclic
DMS273,amplicon2,0,Linear
DU145,amplicon1,0,Linear
DU145,amplicon2,0,Linear
DU145,amplicon3,0,Linear
DU145,amplicon4,0,Linear
DU145,amplicon5,0,Linear
DU145,amplicon6,0,Linear
DU145,amplicon7,0,Linear
DU145,amplicon8,0,Linear
EKVX,amplicon1,0,Linear
EKVX,amplicon2,1472010.63182,Linear
EKVX,amplicon3,0,Linear
EKVX,amplicon4,0,Linear
EKVX,amplicon5,0,Linear
EKVX,amplicon6,0,Linear
EKVX,amplicon7,0,Linear
EKVX,amplicon8,0,Linear
EKVX,amplicon9,0,Linear
GBM39,amplicon1,0,Linear
GBM39,amplicon2,134911939.115,Cyclic
GBM6,amplicon1,161293857.459,Cyclic
GSC11,amplicon1,0,Complex-non-cyclic
GSC11,amplicon2,0,No-FSCNA
H1792,amplicon10,0,Linear
H1792,amplicon11,0,Linear
H1792,amplicon12,0,Linear
H1792,amplicon13,0,Linear
H1792,amplicon14,21166.5161282,Complex-non-cyclic
H1792,amplicon1,124707679.812,Cyclic
H1792,amplicon2,2727543.00258,Cyclic
H1792,amplicon3,0,Linear
H1792,amplicon4,0,Linear
H1792,amplicon5,2167543.79043,Complex-non-cyclic
H1792,amplicon6,1289.12768305,Complex-non-cyclic
H1792,amplicon7,0,Linear
H1792,amplicon8,34081.8209783,Linear
H1792,amplicon9,1121565.02898,Cyclic
H23,amplicon1,0,Linear
H23,amplicon2,10918288.1044,Linear
H322M,amplicon1,0,Linear
H322M,amplicon2,0,Linear
H322M,amplicon3,0,Linear
H322M,amplicon4,0,Linear
H322M,amplicon5,0,Linear
H322M,amplicon6,0,Linear
H322M,amplicon7,0,Linear
H322M,amplicon8,0,Linear
H322M,amplicon9,5801576.92831,Cyclic
H460,amplicon1,30015845.6382,Cyclic
H460,amplicon2,0,Linear
H520,amplicon1,512386.215712,Linear
H520,amplicon2,0,Linear
H520,amplicon3,12340.9070116,Complex-non-cyclic
H520,amplicon4,1149583.45532,Cyclic
H520,amplicon5,0,Linear
H520,amplicon6,0,Linear
H522,amplicon10,0,Linear
H522,amplicon11,0,Linear
H522,amplicon1,0,Linear
H522,amplicon2,0,Linear
H522,amplicon3,0,Linear
H522,amplicon4,0,Linear
H522,amplicon5,0,Linear
H522,amplicon6,0,Linear
H522,amplicon7,0,Linear
H522,amplicon8,101831.694794,Linear
H522,amplicon9,0,Linear
H524,amplicon1,0,Linear
H524,amplicon2,365774165.403,Cyclic
H716,amplicon1,393883550.881,Cyclic
H716,amplicon2,0,Linear
HARA,amplicon10,1475654.60821,Complex-non-cyclic
HARA,amplicon11,3670070.7038,Complex-non-cyclic
HARA,amplicon12,1014010.07412,Linear
HARA,amplicon13,748674.575039,Linear
HARA,amplicon14,0,Linear
HARA,amplicon1,19734563.5668,Cyclic
HARA,amplicon2,367809.982313,Cyclic
HARA,amplicon3,0,Linear
HARA,amplicon4,0,Linear
HARA,amplicon5,189749.481098,Linear
HARA,amplicon6,484639.620494,Linear
HARA,amplicon7,14352202.5777,Cyclic
HARA,amplicon8,0,Complex-non-cyclic
HARA,amplicon9,0,Complex-non-cyclic
HCC1569,amplicon10,0,Linear
HCC1569,amplicon11,212.556419387,Linear
HCC1569,amplicon12,50605438.8544,Cyclic
HCC1569,amplicon13,0,Linear
HCC1569,amplicon14,0,Linear
HCC1569,amplicon1,0,Linear
HCC1569,amplicon2,0,Linear
HCC1569,amplicon3,0,Linear
HCC1569,amplicon4,0,Linear
HCC1569,amplicon5,7193.26114544,Complex-non-cyclic
HCC1569,amplicon6,0,Linear
HCC1569,amplicon7,6701989.23765,Cyclic
HCC1569,amplicon8,0,Linear
HCC1569,amplicon9,103581.103047,Complex-non-cyclic
HCC1954,amplicon10,66459992.1984,Cyclic
HCC1954,amplicon11,0,Linear
HCC1954,amplicon12,0,No-FSCNA
HCC1954,amplicon13,0,No-FSCNA
HCC1954,amplicon1,107502421.386,Cyclic
HCC1954,amplicon2,5925475.75706,Cyclic
HCC1954,amplicon3,0,Linear
HCC1954,amplicon4,0,Linear
HCC1954,amplicon5,199281.089744,Cyclic
HCC1954,amplicon6,68264153.2807,Cyclic
HCC1954,amplicon7,11099.5169232,Linear
HCC1954,amplicon8,0,Linear
HCC1954,amplicon9,431200.078087,Cyclic
HCC38,amplicon1,0,Linear
HCC38,amplicon2,0,Linear
HCC38,amplicon3,267608.957024,Linear
HCC38,amplicon4,2903095.70062,Cyclic
HCC38,amplicon5,0,Linear
HCC38,amplicon6,0,Linear
HCC38,amplicon7,2874.45879658,Linear
HCC38,amplicon8,0,Linear
HCC38,amplicon9,0,Linear
HCC827,amplicon10,0,Linear
HCC827,amplicon11,4239773.73825,Complex-non-cyclic
HCC827,amplicon1,0,Linear
HCC827,amplicon2,77860548.8875,Cyclic
HCC827,amplicon3,0,Linear
HCC827,amplicon4,0,Complex-non-cyclic
HCC827,amplicon5,23756.4704037,Complex-non-cyclic
HCC827,amplicon6,0,Linear
HCC827,amplicon7,0,Linear
HCC827,amplicon8,0,Linear
HCC827,amplicon9,0,Linear
HGC27,amplicon1,0,Linear
HGC27,amplicon2,234647154.572,Cyclic
HGC27,amplicon3,0,Invalid
HK296,amplicon1,33268611.0254,Cyclic
HK296,amplicon2,391870.532477,Cyclic
HK301,amplicon1,25738559.4681,Cyclic
HK359,amplicon1,0,Linear
HK359,amplicon2,0,Linear
HK359,amplicon3,0,Linear
HK359,amplicon4,0,Linear
HK359,amplicon5,66564004.8371,Cyclic
HK359,amplicon6,0,Linear
HL-60,amplicon1,9602112.38109,Cyclic
HOP62,amplicon1,0,Linear
HOP62,amplicon2,0,Linear
HOP62,amplicon3,0,No-FSCNA
IMR575,amplicon1,0,Linear
IMR575,amplicon2,394287462.099,Cyclic
KATOIII,amplicon1,84244075.7494,Cyclic
MB002,amplicon1,89746569.9967,Cyclic
MB411FH,amplicon1,17182891.3178,Cyclic
MCF7,amplicon1,82308571.6394,Cyclic
MCF7,amplicon2,0,Linear
MCF7,amplicon3,0,Linear
MCF7,amplicon4,0,Linear
NCIH2170,amplicon1,7397589.38101,Cyclic
NCIH2170,amplicon2,236798577.141,Cyclic
NCIH2170,amplicon3,1696259.49629,Linear
NCIH69,amplicon1,214200313.245,Cyclic
NCIH69,amplicon2,11483777.9502,Cyclic
OE19,amplicon1,1000153.09156,Cyclic
OE19,amplicon2,23547363.8936,Cyclic
OE19,amplicon3,0,Linear
OE19,amplicon4,28072753.9559,Cyclic
OE19,amplicon5,382935.66751,Complex-non-cyclic
OVCAR3,amplicon10,0,Linear
OVCAR3,amplicon11,0,Linear
OVCAR3,amplicon12,0,Linear
OVCAR3,amplicon13,0,Linear
OVCAR3,amplicon14,0,Linear
OVCAR3,amplicon15,0,Linear
OVCAR3,amplicon16,0,Linear
OVCAR3,amplicon17,0,Linear
OVCAR3,amplicon18,0,Linear
OVCAR3,amplicon19,0,Linear
OVCAR3,amplicon1,0,Linear
OVCAR3,amplicon20,0,Linear
OVCAR3,amplicon21,61566.5365559,Linear
OVCAR3,amplicon22,0,No-FSCNA
OVCAR3,amplicon23,743.363183124,Linear
OVCAR3,amplicon24,721786.146401,Linear
