sample,amplicon,lwcn,classification
6542c25fbba7c9250951ac56::957db9c9-20b7-4fa5-bb2e-0d9f27c5fd89,amplicon1,0,Linear
6542c25fbba7c9250951ac56::957db9c9-20b7-4fa5-bb2e-0d9f27c5fd89,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::9aae06a5-802f-44fe-8fcd-9ae5e0c155e6,amplicon1,0,Linear
6542c25fbba7c9250951ac56::9aae06a5-802f-44fe-8fcd-9ae5e0c155e6,amplicon2,0.00324522985859,Cyclic
6542c25fbba7c9250951ac56::RCMB56_relapse.hg38.nodup.bam,amplicon1,8.38555505442e-05,Linear
6542c25fbba7c9250951ac56::RCMB56_relapse.hg38.nodup.bam,amplicon2,0.614381069624,Cyclic
6542c25fbba7c9250951ac56::RCMB56_relapse.hg38.nodup.bam,amplicon3,0,Complex-non-cyclic
6542c25fbba7c9250951ac56::RCMB56_relapse.hg38.nodup.bam,amplicon4,0,No-FSCNA
6542c25fbba7c9250951ac56::RCMB56_relapse.hg38.nodup.bam,amplicon5,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon10,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon11,0.618233462683,Cyclic
6542c25fbba7c9250951ac56::SJMB003_D,amplicon12,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon3,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon4,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon5,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon6,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon7,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB003_D,amplicon8,0,Linear
6542c25fbba7c9250951ac56::SJMB003_D,amplicon9,0.00105089483271,No-FSCNA
6542c25fbba7c9250951ac56::SJMB004_D,amplicon1,0.266627744738,Complex-non-cyclic
6542c25fbba7c9250951ac56::SJMB004_D,amplicon2,0.589139925175,Cyclic
6542c25fbba7c9250951ac56::SJMB004_D,amplicon3,0.00885713274538,Linear
6542c25fbba7c9250951ac56::SJMB008_D,amplicon1,0.906689684849,Cyclic
6542c25fbba7c9250951ac56::SJMB010_D,amplicon1,0.0453582267925,Linear
6542c25fbba7c9250951ac56::SJMB010_D,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB011_D,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB017_D,amplicon1,0,Linear
6542c25fbba7c9250951ac56::SJMB019_D,amplicon1,0.561602740747,Cyclic
6542c25fbba7c9250951ac56::SJMB024_D,amplicon1,0.00711398407341,Complex-non-cyclic
6542c25fbba7c9250951ac56::SJMB027_D,amplicon1,0.836581420603,Cyclic
6542c25fbba7c9250951ac56::SJMB028_D,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030020_D1,amplicon1,0.671097843119,Cyclic
6542c25fbba7c9250951ac56::SJMB030020_D1,amplicon2,0.885784821718,Cyclic
6542c25fbba7c9250951ac56::SJMB030020_D1,amplicon3,0.890857366204,Cyclic
6542c25fbba7c9250951ac56::SJMB030020_D1,amplicon4,0.766441164226,Cyclic
6542c25fbba7c9250951ac56::SJMB030020_D1,amplicon5,0,Linear
6542c25fbba7c9250951ac56::SJMB030056_D1,amplicon1,0,Linear
6542c25fbba7c9250951ac56::SJMB030056_D1,amplicon2,0.639023838175,Cyclic
6542c25fbba7c9250951ac56::SJMB030110_D1,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030110_D1,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030181_D1,amplicon1,0.954312306128,Cyclic
6542c25fbba7c9250951ac56::SJMB030181_D1,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030187_D1,amplicon1,0.0367589012974,Linear
6542c25fbba7c9250951ac56::SJMB030251_D1,amplicon1,0.00555980105075,Linear
6542c25fbba7c9250951ac56::SJMB030296_D1,amplicon1,0.96186512786,Cyclic
6542c25fbba7c9250951ac56::SJMB030312_D1,amplicon1,0.660220292368,Cyclic
6542c25fbba7c9250951ac56::SJMB030312_D1,amplicon2,0,Linear
6542c25fbba7c9250951ac56::SJMB030333_D1,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030352_D1,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030453_D1,amplicon1,0.000252279064985,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030582_D1,amplicon1,0.229619865243,Linear
6542c25fbba7c9250951ac56::SJMB030582_D1,amplicon2,0.282098385207,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon1,0,Linear
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon10,0,Linear
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon2,0,Linear
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon3,0,Linear
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon4,0,Linear
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon5,0,Linear
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon6,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon7,0,Linear
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon8,0.711475487968,Cyclic
6542c25fbba7c9250951ac56::SJMB030610_D1,amplicon9,0,Linear
6542c25fbba7c9250951ac56::SJMB030757_D1,amplicon1,0.0179101897618,Complex-non-cyclic
6542c25fbba7c9250951ac56::SJMB030910_D1,amplicon1,0.00355958657754,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030910_D1,amplicon2,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon1,0,Linear
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon10,0,Linear
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon11,0,Linear
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon12,0,Complex-non-cyclic
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon2,0,Linear
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon3,0,Complex-non-cyclic
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon4,0.000394515494845,Linear
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon5,0,Linear
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon6,0,Complex-non-cyclic
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon7,0,Linear
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon8,0,Linear
6542c25fbba7c9250951ac56::SJMB030910_D2,amplicon9,0.549911604993,Cyclic
6542c25fbba7c9250951ac56::SJMB030915_D2,amplicon1,0.92046774326,Cyclic
6542c25fbba7c9250951ac56::SJMB031_D,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB031_D,amplicon2,0.0122332568685,No-FSCNA
6542c25fbba7c9250951ac56::SJMB035_D,amplicon1,0,No-FSCNA
6542c25fbba7c9250951ac56::SJMB037_D,amplicon1,0,No-FSCNA
